HIP,RAICRS,DEICRS,Plx,e_Plx,Vmag,B-V,SpType,pmRA,pmDE
23340,75.30740770,-65.55286641,8.73,0.91,8.94,0.533,F5V,35.48,48.58
23341,75.31435007,-45.93642251,4.81,0.79,8.53,0.066,A1V,6.75,12.93
23342,75.31527912,-65.76854758,23.98,2.39,11.98,1.410,O...,132.18,322.90
23343,75.31855291,28.24345583,0.89,2.19,10.43,0.707,B8,0.40,-3.37
23344,75.31888161,4.11063912,7.80,2.09,9.79,0.413,sdF0:,154.34,-146.31
23345,75.31908043,-54.00799646,12.04,0.66,8.18,0.447,F5IV/V,-37.23,-43.49
23346,75.32526078,-60.64926688,1.27,0.83,9.25,1.489,M0III:,-1.84,1.87
23347,75.32613134,-23.70802430,14.78,0.83,7.48,0.458,F5V,25.31,61.57
23348,75.32652724,45.44627802,3.51,1.03,8.01,0.028,B9,-5.25,-2.18
23350,75.32879209,-17.55769630,7.00,1.03,8.00,0.481,F3/F5V,-7.75,-41.94
23349,75.32881024,26.53430776,4.64,2.12,7.45,0.100,B2IV,2.19,-5.67
23351,75.33081043,14.20435358,8.51,1.93,8.96,0.981,G5,6.55,-3.45
23352,75.33324172,-13.08938876,1.93,1.11,8.76,1.456,K2III,13.80,-1.32
23353,75.33669942,15.74437849,1.20,1.03,7.41,1.668,K2,1.24,-2.60
23354,75.33785755,-31.39356128,1.93,0.86,7.94,1.279,K1/K2III,-3.60,15.66
23355,75.33973283,45.88913940,11.95,0.95,7.42,0.396,F2,-7.21,-64.76
23356,75.34007026,19.93052628,4.87,2.72,9.49,0.662,F8,-8.95,-8.11
23357,75.34128446,62.15468403,4.57,2.68,8.93,0.213,A0,-4.05,-16.85
23359,75.34343892,42.00606542,1.47,1.09,7.86,1.364,K3Ib,2.95,-3.66
23358,75.34355228,-33.49007708,5.40,2.76,12.22,,Gp,39.38,20.86
23360,75.34661515,39.96040144,1.32,1.02,7.51,0.888,G0IV,0.34,-3.25
23361,75.35573845,15.24424638,6.24,1.19,8.02,1.045,G8III,-40.03,-29.87
23362,75.35649111,-20.05188078,15.60,0.73,4.91,-0.047,B9V,36.68,-15.47
23363,75.35687645,-0.69684599,5.60,0.96,6.76,0.149,A3,9.49,-25.17
23364,75.35977051,-7.17397802,3.41,0.82,4.80,-0.164,B3V,-0.23,5.16
23365,75.36129630,-49.57715459,3.67,0.82,8.45,1.113,K0III,11.56,-17.08
23366,75.36197549,-38.92051486,1.30,0.75,8.21,1.376,K3III,5.18,14.68
23367,75.36231525,48.95743753,2.92,1.20,8.68,1.004,K0,5.33,11.26
23368,75.36710882,-30.23422611,2.18,0.96,8.01,1.211,K2III,-1.41,-6.08
23370,75.36810614,-10.64930535,3.16,0.89,7.39,1.080,G5,17.89,-5.12
23369,75.36815897,44.39812579,5.76,1.17,7.28,0.196,A3V,3.44,-32.30
23371,75.37402471,23.10424243,2.44,1.32,8.64,1.270,K0,-9.00,-8.49
23372,75.37430734,-85.48621573,7.28,0.86,9.16,0.464,F5V,-58.01,-68.33
23373,75.37521400,-21.66420727,15.63,1.08,8.04,0.531,F7V,-6.91,111.81
23374,75.38656239,-68.02876988,1.13,0.67,8.20,1.529,M3III,5.34,22.97
23375,75.39289238,43.43574008,2.38,1.39,8.48,0.044,B2IV-V,-2.43,-2.65
23376,75.39335105,-52.05266919,1.73,1.15,9.18,0.100,A5IV/V,11.32,23.59
23377,75.39385911,-39.71812649,8.90,0.57,6.02,0.893,G8III,-4.39,33.25
23378,75.39416433,32.90659856,2.39,1.94,10.34,0.696,G0,1.61,-10.10
23379,75.39542406,-58.52075535,1.22,0.72,8.54,1.176,K0p...,8.01,-35.70
23380,75.40009862,61.07843227,27.10,0.80,6.03,0.448,F4V,16.40,-179.31
23381,75.40067591,-44.83010043,10.05,0.72,7.54,0.771,G8/K0III +F:,5.93,-67.31
23382,75.40309890,12.34117543,6.24,1.07,7.66,1.038,G5,53.10,-116.50
23383,75.40450679,-62.09062867,15.86,0.85,9.34,0.712,G6V,105.46,176.46
23384,75.40603215,24.63722349,25.65,1.43,8.06,0.690,G5,93.73,-268.33
23385,75.40817741,2.90697657,5.85,1.68,8.94,0.791,G5,-1.98,12.24
23386,75.41068420,-2.72066861,6.57,1.10,8.32,0.163,A0,12.25,-15.07
23387,75.41214193,37.40954797,1.19,1.33,8.19,0.168,A0,1.50,-12.28
23388,75.41236160,10.20980030,4.77,2.36,10.07,0.547,G0,11.41,-4.24
23389,75.41809004,50.73306938,-2.06,1.54,8.96,1.912,K5,-4.77,-2.33
23390,75.41880717,-49.04679286,4.75,0.84,9.26,0.743,G5/G6V,-6.78,19.97
23391,75.42278934,-78.18326642,3.69,0.64,7.86,1.193,K2III,58.65,55.57
23392,75.42673472,84.87256122,3.06,0.63,7.71,0.130,A2,-2.15,2.99
23393,75.42769967,38.78917919,6.68,1.09,7.55,1.120,K0,11.37,15.23
23394,75.43150258,55.57507184,4.65,0.95,7.39,0.297,A3,27.18,-24.14
23396,75.43443138,20.83007077,24.38,1.78,7.99,0.740,G0,-65.85,-92.74
23395,75.43448908,26.67106213,25.27,1.77,6.79,0.506,G2V,-2.32,43.47
23397,75.43492980,-70.04855497,4.07,1.07,9.78,0.488,F5,29.84,129.41
23398,75.43713776,-22.02544728,3.23,1.55,9.28,1.183,K0III:,2.54,-7.93
23399,75.43878643,42.34454081,14.34,1.21,8.11,0.513,F8V,12.40,-137.79
23400,75.44134743,31.77814079,4.90,1.10,7.71,0.150,B9,-7.73,-14.05
23401,75.44227227,18.77741666,0.67,1.48,9.62,0.807,F5,-0.71,1.99
23402,75.44302929,26.65066656,25.43,1.34,8.22,0.700,G5,-1.93,29.17
23403,75.44358308,57.13341886,4.18,0.95,7.50,1.100,G9III,2.67,-9.49
23405,75.44843369,-10.93389100,5.64,0.83,6.76,0.909,G5,-5.06,13.66
23404,75.44859762,11.37531445,2.18,0.95,7.17,0.038,B8,-7.47,-11.29
23406,75.45309470,11.38318423,2.24,2.62,10.08,0.742,G5,-1.01,-14.15
23407,75.45339905,38.33471394,1.55,1.41,9.10,0.290,B5,-0.24,-2.93
23408,75.45979252,0.72216704,6.55,0.91,5.91,1.267,K0,4.84,-22.75
23409,75.46377086,31.63266846,11.39,1.66,9.23,0.610,G0,108.44,-64.25
23410,75.47209049,19.96602996,5.21,1.39,9.18,0.360,F2,15.88,-8.64
23411,75.47380692,-19.66270887,4.61,0.89,7.72,0.125,A3V,-17.00,-9.81
23412,75.47660996,-36.97843303,4.96,0.67,7.61,0.823,K0III,17.35,-56.06
23413,75.48467796,-76.62814281,17.48,0.74,7.53,0.482,F5V,-27.54,-134.93
23414,75.48788479,1.04953932,16.71,1.20,8.31,0.571,F8,115.00,49.77
23415,75.49000225,28.29115767,5.68,1.42,8.23,0.293,A0,-3.01,0.98
23416,75.49222507,43.82331397,1.60,1.16,3.03,0.537,F0Ia,0.18,-2.31
23417,75.49330034,2.06434257,3.06,1.57,9.32,0.398,F,-5.77,-11.62
23418,75.49494498,9.98331568,31.20,8.56,11.45,1.540,M3V:,17.18,-81.96
23419,75.50011262,1.60884108,6.42,1.71,6.45,-0.050,B8V,-5.37,9.84
23420,75.50293775,-39.07748222,5.70,0.75,8.15,0.224,A6V,16.68,34.84
23421,75.50316339,1.61144084,12.06,7.63,7.97,0.226,A1IV,-7.42,7.25
23422,75.50403150,-5.50097094,8.40,0.84,6.64,0.365,F0,15.30,-30.43
23423,75.51014003,16.19074669,11.25,1.27,8.73,0.509,F8,14.46,-21.20
23424,75.51566682,-45.59940723,5.00,0.66,7.77,0.099,A1V,-6.90,6.67
23425,75.52277909,69.16046325,15.83,1.00,7.12,0.446,F5,86.38,-79.28
23426,75.52290508,21.32082807,2.42,1.20,8.40,1.304,K0,23.43,-16.45
23427,75.52839976,35.93017753,5.85,1.31,8.64,1.225,G5,-7.50,-6.70
23428,75.53079377,-71.33697655,0.92,1.45,10.75,0.120,B,1.79,0.03
23429,75.53109555,-31.34888940,3.38,0.73,7.05,1.271,K1III,12.81,-35.15
23430,75.54069171,-26.27484321,13.45,0.59,5.01,1.056,K1III,85.79,-76.63
23431,75.54074698,14.08254884,34.88,1.46,8.19,0.720,G5,86.36,-405.09
23432,75.54121011,66.16571109,4.65,1.69,10.24,0.431,G0,9.82,-2.89
23433,75.56139913,31.26370674,7.01,1.31,8.91,0.395,F2,9.68,-5.84
23434,75.56291093,-1.71901632,2.97,1.66,9.16,1.000,K0,-0.06,0.09
23435,75.56595346,-80.81141153,2.07,0.80,8.96,1.079,G8III,0.90,15.36
23436,75.56622059,24.02917035,0.39,1.27,8.36,0.109,B1Ve,-0.50,-3.15
23437,75.57128038,-56.08231511,44.94,0.58,7.02,0.636,G5V,-45.45,731.80
23438,75.57355548,29.99503259,4.57,1.32,9.37,0.381,F5,14.63,-5.20
23439,75.57619729,-31.69566451,2.10,1.21,9.48,0.859,G5V:,-10.31,15.81
23440,75.57880027,63.77013299,0.71,1.15,8.88,1.589,M...,1.12,3.18
23441,75.57934336,-1.19871699,4.71,2.84,10.92,0.490,F5,-2.98,-1.88
23442,75.58245040,74.26926858,5.19,0.60,6.05,1.562,K5III,11.83,40.76
23443,75.58463004,13.91048443,26.00,1.17,7.51,0.615,G0,-10.32,-100.57
23444,75.59135663,-46.52018121,2.80,0.82,8.78,0.439,F2IV/V,-0.26,19.19
23445,75.59232617,-16.16822385,3.29,1.18,8.60,0.283,A8V,-8.06,6.12
23446,75.59503803,-31.77154017,9.90,0.63,5.92,1.170,K2III,-6.44,85.28
23447,75.59894095,-71.84249485,4.94,0.73,8.26,1.122,K1IVCN...,3.92,-7.50
23448,75.60916355,2.04802521,3.55,1.12,8.02,-0.075,A0,-3.06,3.22
23450,75.61132992,-43.50692065,4.62,1.00,9.74,0.108,A1V,-3.16,16.61
23449,75.61134398,-23.78397953,1.06,1.21,8.94,1.241,K1III,2.90,-13.81
23451,75.61430277,7.46107926,8.92,1.05,8.13,0.199,A0,6.67,-23.32
23452,75.61879215,-21.25610576,117.38,1.81,8.31,1.430,M0V,-141.55,-221.74
23453,75.61950025,41.07588953,4.14,0.81,3.69,1.154,K4II comp,8.88,-21.43
23454,75.62011848,-51.45505653,4.58,0.70,8.23,0.984,G8III,34.77,-2.41
23455,75.62449645,65.56852312,2.30,0.94,7.91,1.252,K2,-7.90,-17.49
23456,75.62747348,-18.47389853,3.66,1.50,9.41,1.207,K1/K2III:,16.18,-25.61
23457,75.63119692,7.42407173,7.48,0.92,6.86,0.958,G5,-22.90,-16.66
23458,75.63173856,-15.70770394,1.05,1.17,9.01,0.407,F3IV,3.90,2.27
23459,75.63252481,-50.44542003,4.17,0.69,7.95,0.226,A7V,23.83,26.27
23460,75.63610176,23.87105847,2.03,1.44,8.56,1.288,K2,25.39,-41.62
23461,75.63857418,9.65098885,-0.49,1.17,8.69,0.240,A2,-7.94,-3.93
23462,75.65320358,13.06394374,5.05,1.56,9.56,0.333,F0,3.45,-7.61
23463,75.65433639,72.41576285,1.58,0.84,7.52,0.789,G5,-7.23,0.00
23464,75.65786095,-8.89420164,4.36,0.84,7.24,0.965,K0,-2.59,-2.85
23465,75.67421102,-55.67124445,2.92,0.85,8.98,1.274,K2/K3III,3.78,16.89
23466,75.67436311,-67.84314678,2.06,0.73,8.30,0.936,G8III,-9.57,7.66
23467,75.67918703,-71.31432608,5.08,0.50,5.30,0.996,G8III,-3.54,10.68
23468,75.68048487,-26.63492767,8.16,1.07,8.84,0.571,G1V,58.33,-60.88
23469,75.68142087,5.83049446,1.14,1.47,9.27,0.115,A0,2.79,-2.52
23470,75.68321897,-5.70610460,3.90,1.12,8.90,0.362,A5,-0.04,-4.23
23471,75.68467733,57.75326079,-0.61,1.09,9.09,1.595,K5,4.34,-0.86
23472,75.68503991,-21.09935655,10.89,1.10,8.18,0.456,F3/F5V,-5.38,-116.29
23473,75.68563313,3.45771424,2.91,1.15,7.32,-0.093,B9,2.10,-4.04
23474,75.68726911,-22.79508768,6.22,0.72,5.74,1.188,K1IV,61.22,14.58
23475,75.68904194,-4.21012550,10.48,0.85,5.86,1.212,K3,42.23,2.02
23476,75.69414953,-30.83636830,3.78,1.77,9.27,,K1III,2.72,-46.16
23477,75.69432901,46.66028766,2.91,0.89,7.74,0.019,B9,10.71,-15.86
23478,75.69602156,53.75890947,0.06,1.17,8.39,1.500,K5,-5.82,-1.31
23479,75.69737013,6.19185515,2.30,1.67,9.10,1.363,K5,0.02,-6.56
23480,75.70109879,-50.79310331,11.56,1.09,8.14,0.579,G0V,5.69,-171.64
23481,75.70242187,50.60566993,3.43,1.22,8.57,0.136,A0,9.66,-16.48
23483,75.70290897,-8.20946223,6.21,1.01,7.81,-0.055,B9,-9.04,-0.03
23482,75.70302244,-49.15147328,38.19,0.51,5.37,0.421,F2V,-43.96,27.18
23484,75.70974597,66.82378884,35.78,0.62,6.20,0.509,F6V:,67.57,-335.17
23485,75.71879224,10.94974291,-0.94,1.19,8.49,1.528,K0,3.48,-8.31
23486,75.73115584,5.18880259,13.24,2.12,10.72,0.900,K3,13.94,-202.31
23487,75.73374280,-49.70360509,3.50,0.63,7.26,1.042,G8/K0III,-34.75,69.44
23488,75.73854367,-41.60752813,0.84,0.75,7.96,1.390,K4III,12.26,33.33
23489,75.73907140,42.56905045,0.67,1.18,7.50,-0.089,B8,-0.27,-3.53
23490,75.74032046,-12.43857958,4.37,2.96,8.47,0.020,A0V,0.50,-7.60
23491,75.75132040,-54.09800518,0.82,0.80,8.80,1.677,M4III,5.33,0.30
23492,75.75670156,12.05929373,10.82,1.02,7.24,0.343,F2,-10.99,46.88
23493,75.75819489,-8.66314367,6.62,1.12,6.86,-0.020,A0,-12.23,-3.31
23495,75.75866590,-42.49786838,2.93,0.60,6.95,1.617,M2III,6.55,-18.15
23494,75.75869463,9.38242806,1.19,1.05,7.56,-0.013,A0,2.28,-3.18
23496,75.76299718,14.76571270,4.15,1.59,9.14,0.634,F8,-14.40,-5.88
23497,75.77376699,21.59006170,20.01,0.91,4.62,0.155,A7V,68.94,-40.85
23498,75.78174186,13.73071388,18.44,1.66,9.00,0.765,K0,65.95,-18.46
23499,75.78438869,-49.64705982,3.05,0.87,9.15,0.948,G8III/IV,-14.68,14.07
23500,75.78672343,-66.95968061,-0.43,1.28,10.60,0.004,B8Ia,5.18,-4.43
23501,75.79168444,-47.74456031,7.25,0.96,9.69,0.506,F3/F5V,10.49,23.28
23502,75.79888261,-50.32196474,6.70,0.65,7.88,0.368,F2IV/V,-14.79,-7.40
23503,75.80612021,-1.63916693,3.28,2.89,10.79,0.587,F8,4.50,8.87
23504,75.80641245,17.29020326,3.55,1.48,9.77,0.475,F0,1.50,-13.02
23505,75.81158777,-7.29438607,1.65,1.33,8.34,1.022,K0,-6.58,3.55
23506,75.81164178,-64.53531265,1.04,0.78,8.71,1.673,M0III,7.47,11.12
23507,75.81607601,59.75903520,3.73,1.45,9.61,0.344,A7,-7.50,-4.60
23508,75.82125777,4.01554760,0.92,1.04,8.10,-0.112,B8,1.00,4.27
23509,75.82264162,54.91501560,15.76,1.17,8.15,0.607,G0,23.25,-109.72
23510,75.82471495,1.69957751,1.00,1.50,8.90,1.092,K0,24.37,-13.49
23511,75.82765661,41.44165308,1.60,0.78,6.11,0.188,A2sh,-1.11,-2.86
23512,75.83426652,-17.37245290,107.86,2.95,11.71,1.661,K:,-226.25,-447.88
23513,75.83689705,-63.20581001,2.84,0.71,8.53,1.341,K3III,13.53,19.59
23514,75.83999002,-2.98242915,1.28,1.08,8.31,-0.067,B9,1.72,-4.34
23515,75.84035850,-0.00450176,2.72,1.92,10.18,0.101,A0,1.49,-2.74
23516,75.84052800,-23.25062977,37.93,5.00,9.28,1.281,K5V,248.88,157.15
23517,75.84203016,-19.50044985,1.66,0.95,8.61,-0.081,B8IV/V,-2.99,-3.50
23518,75.84430666,53.13220642,71.35,1.76,9.96,1.389,M0,1304.13,-1537.29
23519,75.84510795,-25.16373896,14.42,4.59,11.96,1.265,,151.50,-48.32
23520,75.84602234,50.63280814,4.81,1.88,8.43,2.100,N0v,0.37,-3.89
23521,75.85028832,67.17402636,3.02,1.41,9.72,0.248,A5,0.01,-4.53
23522,75.85457200,60.44228144,3.27,0.74,4.03,0.921,G0Ib,-6.11,-14.78
23523,75.85673513,25.76956377,8.76,1.39,8.43,0.680,G5,-13.79,-43.23
23524,75.85805400,72.16735068,2.07,0.88,8.42,0.084,A0,6.26,-19.14
23525,75.85924636,70.82497191,5.56,1.91,8.97,0.104,A0,-7.51,-0.92
23526,75.86398901,40.07666176,0.06,1.01,8.11,0.019,B8,-1.95,-3.16
23527,75.87325972,-70.69983565,1.66,2.06,11.71,-0.001,B3,0.80,-2.19
23528,75.87338603,-52.70166755,7.19,0.77,8.78,0.965,K0III/IV,-4.42,59.79
23529,75.87425161,-58.44629414,3.11,0.68,8.42,0.302,A6/A7IV/V,7.01,10.94
23530,75.87769937,63.07741788,31.76,1.05,7.63,0.660,G0,106.24,310.91
23531,75.88702610,-45.81896638,2.61,0.74,8.74,0.972,G8III/IV,-12.89,34.61
23532,75.88822036,63.08517472,31.92,0.95,7.93,0.710,G0,101.12,315.26
23533,75.89406620,-2.97942707,0.89,1.51,9.55,-0.040,A2,6.83,-4.77
23534,75.90652309,-28.96937892,7.59,2.17,9.46,0.800,G6V,-6.65,-45.75
23536,75.90940846,37.26857904,4.55,0.96,7.30,0.120,B8,0.65,-13.19
23535,75.90949284,-5.14528311,2.17,1.84,9.00,0.156,A0,-2.06,-6.40
23537,75.90989700,2.55835780,4.07,1.32,8.63,0.335,A3,-4.73,2.89
23538,75.92617461,-23.03424844,-1.16,5.23,10.65,1.079,K0,1.63,3.07
23539,75.92847221,-2.54000800,4.21,0.94,6.73,1.076,K0,34.55,9.85
23540,75.92996554,-4.20552769,5.25,1.15,8.35,0.341,F0,-3.86,-7.85
23541,75.93071979,-15.70706658,8.68,1.16,8.13,0.510,F5V,-30.64,-21.98
23542,75.94000917,6.64040581,7.84,1.00,7.52,0.926,K0,0.07,-35.92
23543,75.94058103,-36.06658757,2.35,1.02,9.42,1.011,K0,7.12,0.35
23544,75.94658509,10.85525852,3.54,1.62,9.59,0.456,F8,-10.52,-17.23
23545,75.94817398,70.07197511,3.05,1.12,8.80,0.960,G5,-0.70,0.64
23546,75.94988183,-56.30287174,4.40,0.63,7.78,0.288,A9IV/V,21.78,46.84
23547,75.95509223,-79.50714737,10.72,0.83,9.64,0.709,G5,92.04,174.15
23548,75.96376289,2.72549937,8.71,1.61,9.31,0.513,F8,16.97,21.79
23549,75.96486027,-11.66183389,2.37,1.19,8.44,0.939,G5,1.74,-7.25
23550,75.96618918,24.97310238,12.63,1.01,7.44,0.810,G8V,126.32,-117.88
23551,75.96718238,-14.37023813,2.47,0.72,6.42,-0.187,B2IV,1.23,3.12
23553,75.96974155,-40.60764290,18.60,0.70,8.38,0.637,G3V,-8.42,-58.88
23552,75.96990460,-28.49585833,7.56,1.15,9.61,0.624,G3V,53.09,-29.83
23554,75.97189741,-24.38805735,16.65,0.64,5.61,0.094,A2IV,25.69,-38.42
23555,75.97472974,-41.74533727,31.93,0.57,6.30,0.528,F8V,22.82,159.17
23556,75.97488653,40.68332684,1.52,1.10,8.10,0.000,B8,-0.95,-10.00
23557,75.97684150,32.38143475,3.14,1.41,8.37,0.179,A0,4.83,-5.12
23558,75.97723158,-25.89198416,4.60,0.94,8.10,1.030,K0III,3.57,7.92
23559,75.98386502,-27.65939396,1.06,1.02,8.55,1.446,K3III,7.42,-8.67
23560,75.98569291,-14.55619649,4.56,0.79,6.71,1.210,K1III,39.57,-0.21
23561,75.98780093,22.53363100,4.15,1.29,8.82,0.197,A0,-0.24,-4.94
23562,75.99247945,-29.81345750,3.24,0.94,8.75,1.103,K2III,-0.43,-10.47
23563,75.99686589,28.87774061,26.73,2.13,9.79,1.060,K8,220.81,-208.73
23564,75.99779779,-10.63519986,1.35,0.87,7.24,1.403,K0,-2.90,5.92
23565,75.99967000,-45.20832381,4.04,0.74,8.11,0.134,A3IV,9.80,14.12
23566,76.00281394,-5.85123746,9.40,0.95,8.44,0.475,F8,15.26,-20.00
23567,76.00520607,-2.85781421,6.43,2.00,8.16,0.408,F0...,15.86,9.29
23568,76.00970025,49.50996354,1.98,1.24,8.36,0.026,B9,-7.21,-14.56
23569,76.01262340,47.66486626,3.98,0.93,7.13,1.296,K0,-6.89,-11.50
23570,76.01513537,27.53770895,4.61,1.37,9.61,0.699,F0,26.49,-21.62
23571,76.01720178,2.95598056,8.38,3.27,8.94,0.171,A0,0.58,-1.73
23572,76.01981229,38.86976519,1.53,1.12,8.13,0.250,B9,-1.86,-1.40
23574,76.02234554,17.12500026,2.26,1.27,8.78,1.028,K0,98.52,-51.59
23573,76.02249072,-42.36325393,16.17,1.11,10.03,0.739,K0,188.88,-131.79
23575,76.02587930,-0.64870676,20.83,1.22,8.60,0.741,G5,59.94,-143.50
23576,76.03549364,54.86452924,5.97,1.10,7.84,0.215,A2,16.68,-36.75
23578,76.03922618,33.26216887,3.96,1.28,8.89,0.413,F8,1.95,-3.79
23579,76.04000945,19.09467160,9.01,2.41,10.85,0.567,F8,-1.87,-17.42
23577,76.04204990,85.25932172,9.34,0.91,9.19,0.480,F8,41.26,-195.12
23580,76.04293708,9.14215563,2.03,1.68,8.93,1.422,K5,-0.24,-2.92
23581,76.04577836,46.86481369,2.37,1.32,9.31,1.278,K0,5.70,-10.28
23582,76.05319837,73.76393288,2.45,0.58,6.21,1.609,K0,14.17,-18.80
23583,76.06065446,30.49461984,5.61,0.80,6.14,1.208,K0II-III,12.06,-13.19
23584,76.06447418,34.46090596,2.94,2.41,9.89,0.615,F5,17.19,-18.96
23585,76.06739108,45.77950386,17.52,0.84,6.51,0.223,A2,19.06,-63.33
23586,76.07499402,-6.03131539,5.65,1.07,6.93,-0.014,B9,-3.27,7.12
23587,76.08006044,20.03936953,1.55,1.61,9.91,1.651,K7,8.11,-6.14
23588,76.08894164,8.20516787,7.87,1.27,8.44,1.105,G5,9.27,1.91
23589,76.08991531,21.27799175,5.30,0.81,6.20,1.324,K0,15.18,-25.17
23590,76.09071059,-13.70727795,3.09,0.92,8.09,0.937,G6III,8.01,-13.26
23592,76.09192933,21.64356134,1.04,1.29,7.94,0.336,B3V,2.68,-5.17
23591,76.09211151,28.65990974,0.35,1.63,9.34,1.441,K0,-9.16,-11.78
23593,76.09316092,-10.14895988,19.67,1.54,9.69,0.798,G5,66.81,-275.47
23594,76.09475407,-74.92109080,2.92,0.85,8.36,0.880,G3/G5III,-7.15,-10.20
23595,76.10129897,-35.48287057,17.63,0.54,4.55,1.177,K2III,126.17,-44.36
23596,76.10890221,-35.70520775,9.77,0.69,6.32,0.311,F2IV/V,28.46,40.58
23598,76.11070277,29.62969951,4.47,2.34,8.51,0.241,A0,-3.43,-9.39
23597,76.11071422,12.16506712,8.06,2.14,10.53,0.574,G0,23.95,-13.95
23599,76.11133583,10.18703664,3.98,1.61,10.32,0.590,F8,112.43,-94.14
23600,76.11153529,-67.29523360,-0.90,1.48,10.88,0.045,A0V,1.42,9.31
23601,76.11869917,7.83030726,7.67,0.95,7.15,0.997,K0,21.04,-10.28
23602,76.12494946,-3.78729237,0.61,2.47,10.51,0.381,A2e,4.97,-3.12
23603,76.13634736,43.72770666,5.68,1.32,7.64,-0.051,B8V,10.38,-19.54
23604,76.13647501,-44.94770643,2.71,0.88,8.88,1.178,K1/K2III,3.28,5.51
23605,76.13737352,58.86100090,7.00,3.01,8.02,0.737,G5...,-5.85,-21.09
23606,76.14080041,23.64953191,4.75,1.09,7.80,1.114,K0,-5.40,-3.75
23607,76.14224320,15.40418059,8.15,0.97,4.65,-0.064,A0p Si,18.40,-30.99
23608,76.14366255,30.38036815,2.79,1.20,8.19,1.874,K,24.14,15.66
23609,76.15040174,49.73220360,3.80,1.30,8.46,0.680,A2,2.64,-20.67
23610,76.15191444,-14.94742579,1.68,0.88,7.32,1.627,K5III,6.48,0.84
23611,76.15382930,32.32043676,8.53,1.03,6.59,0.277,A4m,-5.40,-68.33
23612,76.15505343,-17.88512396,2.63,0.95,7.80,0.190,A5V,-4.33,10.09
23613,76.15655527,39.96920782,0.59,1.09,8.35,0.086,B9,5.13,-6.03
23615,76.15807368,-12.92819665,6.26,0.86,7.38,0.258,A9IV/V,-5.59,9.48
23614,76.15811247,27.69612305,10.57,0.88,6.62,0.238,F0III,27.23,-40.61
23616,76.15923462,12.69868057,4.10,1.23,8.73,0.040,A0,0.44,-8.16
23617,76.16522092,74.06699380,6.07,0.70,6.10,0.018,A1V,7.03,-15.94
23618,76.16956962,-17.94144663,1.39,1.19,8.47,1.289,K2III,0.84,7.15
23619,76.17004494,-55.50128694,1.83,0.77,8.41,1.493,K4III,0.10,26.66
23620,76.17390977,-21.22089892,5.27,1.00,7.58,1.071,K1III,9.76,-28.89
23621,76.17417839,14.85910367,9.98,0.96,6.78,0.139,A3p,2.92,-30.31
23622,76.17488002,64.13243033,5.58,0.94,8.47,0.290,A3,-4.93,-26.98
23623,76.17919740,-31.74860719,2.99,1.13,8.88,0.969,G8III,-10.69,3.70
23624,76.18398413,44.95862558,-2.60,3.63,9.19,0.370,B6V,-3.63,-2.61
23625,76.18743297,-64.54578850,3.37,0.60,7.77,1.007,K0IIICN...,-11.67,11.27
23626,76.18779162,-54.93768024,3.34,0.78,8.69,1.249,K2III,3.91,0.99
23627,76.19800085,-11.69850172,23.59,0.89,7.20,0.618,G0,74.83,-217.15
23628,76.20209027,-31.58807026,5.69,1.29,9.51,0.833,G8V,-28.59,-76.81
23629,76.20452674,13.30887401,5.35,1.12,7.62,0.028,B8,0.07,-4.10
23630,76.20565593,-44.16729223,1.77,0.90,8.79,1.003,K1III,6.17,7.06
23631,76.20722751,-20.24598740,10.42,0.80,7.19,0.897,K0III,41.41,78.35
23632,76.20857480,18.25396986,8.67,0.94,7.64,0.180,A2,-3.02,-15.69
23633,76.20884856,26.72085053,6.63,1.09,7.51,0.203,A2,15.33,-31.17
23634,76.20980383,26.88330232,7.61,1.43,9.04,0.408,F2,-16.46,3.39
23635,76.21157301,-57.67238565,4.46,0.67,8.16,0.078,A1V,7.15,29.55
23636,76.21182688,-21.90450785,-1.77,2.73,9.95,1.064,M6e-M9e,8.17,-31.63
23637,76.21234363,-40.11434617,3.45,0.92,9.34,1.141,K2III,10.46,-6.93
23638,76.21244809,-52.18078565,8.83,0.63,7.75,0.513,F5V,-18.51,-45.16
23639,76.22086928,-39.56076835,3.63,0.67,7.72,1.129,K2III,-10.25,-1.33
23640,76.22188065,80.78145975,1.18,1.03,9.19,0.076,A0,-5.95,-9.43
23641,76.22287719,-69.16888348,24.02,0.95,9.27,0.787,K0V,8.45,-3.85
23642,76.22394563,17.78278660,4.48,1.21,9.21,0.420,F2,-7.67,-13.35
23643,76.22719050,-3.03967236,1.06,0.80,6.04,-0.117,B5IV,1.61,-0.98
23644,76.22739483,-40.57055714,14.96,1.61,8.36,0.695,G3V,2.72,39.35
23645,76.22884667,23.56852371,4.24,1.32,8.92,0.556,F5,5.94,-12.02
23646,76.23736372,-16.00599976,-0.73,1.36,9.23,1.265,K1/K2III,2.36,17.20
23647,76.24002234,-72.41952506,2.80,0.65,8.20,1.054,K0IIICN...,5.27,11.45
23648,76.24081955,60.17947852,1.65,1.13,7.87,1.021,K0,2.41,-29.05
23649,76.24146891,-49.57783014,6.88,0.50,5.05,1.484,M2IIIvar,68.74,-3.03
23650,76.24432087,41.88047717,6.22,1.08,7.31,0.144,A4V,0.92,-22.02
23651,76.24471592,15.97117650,6.29,1.87,9.32,0.434,F0V,-5.09,0.25
23652,76.24915032,-8.55766653,3.59,1.02,8.45,0.028,A0,-2.51,-0.10
