HIP,RAICRS,DEICRS,Plx,e_Plx,Vmag,B-V,SpType,pmRA,pmDE
73,0.22045719,66.84796687,3.97,0.69,6.90,1.446,K2,-20.78,18.19
74,0.22187281,35.75272213,24.22,1.36,9.93,1.068,K5,157.73,-40.31
75,0.22316216,-50.44646500,1.60,0.79,7.42,1.524,K4III,29.01,2.56
76,0.22821959,32.82567452,2.29,1.19,9.03,1.670,M0,-1.98,-8.45
77,0.23052169,-30.06417333,3.53,1.12,8.41,0.022,A0V,18.83,2.83
78,0.23231307,17.86784193,1.17,0.96,8.06,1.203,K0,-0.51,3.68
79,0.23572286,35.31675386,4.57,0.99,8.69,0.529,F5,16.45,-13.81
80,0.24179216,-11.82353722,15.59,1.43,8.40,0.566,G2V,419.04,-82.83
81,0.24386443,-4.93211471,23.43,1.28,8.57,0.642,G5,-184.70,-172.67
82,0.24803173,-10.93580540,1.82,1.37,9.50,1.107,G5,-6.01,-65.06
83,0.24808100,52.08056444,2.28,1.30,8.85,1.726,M0,-2.10,-0.99
84,0.25180722,27.88634368,18.90,1.33,9.61,0.852,K0,225.55,-5.46
85,0.25600730,-24.71404902,3.90,2.06,10.62,0.359,A2,48.48,0.49
86,0.26038262,69.60349830,3.47,0.78,8.05,0.018,B9,11.53,2.67
87,0.26151556,-5.83497569,4.52,1.08,7.80,0.430,F5,-7.83,-10.91
88,0.26915958,-48.80985919,5.97,0.70,5.71,0.911,G8III,-17.92,-6.75
89,0.27715178,53.16694253,2.60,0.96,7.87,1.566,K2,0.68,0.03
90,0.27999988,-41.88742972,9.35,0.92,7.64,0.500,F5IV/V,25.10,-46.98
91,0.28056847,-5.87433293,4.21,1.23,7.66,1.300,K0,-15.41,-6.09
92,0.29062512,-20.70558648,4.77,1.44,8.68,0.944,G8III,27.51,15.15
93,0.29222255,-0.07592034,16.74,1.28,8.12,0.619,F8V,54.94,-73.28
94,0.29485302,-32.75680569,10.48,1.48,10.10,0.644,G2,50.32,-12.69
95,0.30203883,-11.96400015,7.85,1.17,8.67,0.513,F5V,-9.94,-13.75
96,0.30489357,13.97474826,19.83,5.16,10.46,1.360,M0,20.59,139.82
98,0.30717811,-52.79857954,6.49,1.44,9.87,0.551,F6/F7V,-2.09,1.70
97,0.30733362,-21.40404527,5.52,1.74,9.48,0.530,F5V,18.34,1.21
99,0.31601620,60.35529798,1.27,0.70,7.04,2.835,C5p,9.57,-6.49
100,0.31645128,19.74131648,4.49,1.08,8.44,0.898,G0,-29.13,-30.14
101,0.31976150,-47.79382994,7.35,1.74,9.88,0.509,F5IV/V,-14.29,-0.62
102,0.32043200,-41.48735570,3.00,0.82,7.05,1.550,M1III,17.13,-33.61
103,0.32214393,-68.37102958,9.15,0.76,8.29,0.538,F6V,-10.45,-40.28
104,0.32673657,-31.89961642,8.16,1.21,9.34,0.543,F7V,-39.21,-0.87
105,0.32784438,70.92895780,4.44,0.75,7.73,0.455,F0,-4.90,-8.21
106,0.33016464,49.98158501,4.50,0.73,6.22,0.970,G7II-III,13.29,-11.19
107,0.33380226,-50.33739907,5.84,0.61,5.53,1.615,M2III,7.34,10.59
108,0.33655323,-70.12530771,0.30,0.86,8.53,1.315,K3II/III,12.75,14.74
109,0.34660201,6.79149102,5.33,0.94,7.23,0.388,F0,-3.08,-8.70
